Player,Try Match 11,Try Match 9,Assist Match 11,Assist Match 9,Breaks Match 11,Breaks Match 9,Metres Match 11,Metres Match 9,Offloads Match 11,Offloads Match 9,Carries Match 11,Carries Match 9,Team,,,,
Alessandro Garbisi,0,0,0,0,1,0,15,0,0,0,7,0,Benetton,,Benetton,3304,3737
Alessandro Izekor,0,0,0,0,1,1,27,25,1,1,9,8,Benetton,,Bulls,4154,4573
Braam Steyn,0,0,0,0,0,0,9,9,1,1,7,7,Benetton,,Cardiff,3043,3427
Carl Wegner,0,0,0,0,0,0,7,7,0,0,8,8,Benetton,,Connacht,3278,3674
Cherif Traore,0,0,0,0,0,0,13,0,2,0,6,0,Benetton,,Dragons,3918,4239
Corniel Els,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,Edinburgh,3737,3737
Dewaldt Duvenage,0,0,0,0,1,1,16,16,0,0,16,16,Benetton,,Glasgow Warriors,3704,4188
Dewi Passarella,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,Leinster,4090,4757
Edoardo Padovani,3,3,0,0,8,8,183,156,3,3,34,29,Benetton,,Lions,2908,3269
Federico Ruzza,3,0,0,0,2,0,108,60,4,3,47,33,Benetton,,Munster,3493,4009
Federico Zani,1,0,0,0,0,0,5,5,0,0,9,7,Benetton,,Ospreys,3112,3420
Filippo Alongi,0,0,0,0,0,0,8,8,0,0,5,5,Benetton,,Scarlets,4129,4615
Filippo Drago,0,0,0,0,1,1,31,31,0,0,6,6,Benetton,,Sharks,3513,3913
Giacomo da Re,0,0,0,0,0,0,66,66,1,1,19,19,Benetton,,Stormers,3538,3806
Giacomo Nicotera,2,1,0,0,0,0,36,21,1,0,35,27,Benetton,,Ulster,3394,3834
Gianmarco Lucchesi,1,1,0,0,0,0,32,32,1,1,33,33,Benetton,,Zebre,3356,3356
Giovanni Pettinelli,0,0,0,0,0,0,42,42,1,1,23,23,Benetton,,,,
Giuliano Avaca,0,0,0,0,0,0,28,28,0,0,7,7,Benetton,,,,
Henry Time-Stowers,0,0,0,0,0,0,33,0,2,0,33,0,Benetton,,,,
Ignacio Mendy,2,2,0,0,5,5,270,270,2,2,47,47,Benetton,,,,
Iliesa Ratuva Tavuyara,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,,,
Ivan Nemer,0,0,0,0,1,1,45,45,2,2,28,28,Benetton,,,,
Jacob Umaga,0,0,0,0,3,2,129,99,3,3,14,11,Benetton,,,,
Joaquin Riera,0,0,0,0,3,3,80,80,3,3,25,25,Benetton,,,,
Joey Caputo,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,,,
Lapo Frangini,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,,,
Leonardo Marin,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,,,
Lorenzo Cannone,2,2,0,0,1,1,178,178,1,1,57,57,Benetton,,,,
Manfredi Albanese,1,1,0,0,3,2,65,37,0,0,9,6,Benetton,,,,
Manuel Arroyo,0,0,0,0,0,0,3,3,0,0,5,5,Benetton,,,,
Manuel Zuliani,2,1,0,0,4,3,137,99,4,2,42,32,Benetton,,,,
Marco Lazzaroni,0,0,0,0,0,0,0,0,1,1,3,3,Benetton,,,,
Marco Zanon,1,1,0,0,2,2,107,107,8,8,44,44,Benetton,,,,
Marcus Watson,2,2,0,0,3,3,136,136,1,1,14,14,Benetton,,,,
Matteo Drudi,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,,,
Matteo Minozzi,0,0,0,0,0,2,22,11,0,2,10,4,Benetton,,,,
Mattia Bellini,1,1,0,0,2,2,105,105,5,5,18,18,Benetton,,,,
Michele Lamaro,0,0,0,0,0,0,73,73,1,1,45,45,Benetton,,,,
Nacho Brex,0,0,0,0,1,1,88,61,5,3,46,32,Benetton,,,,
Nahuel Tetaz Chaparro,0,0,0,0,0,0,4,4,0,0,4,4,Benetton,,,,
Niccolo Cannone,0,0,0,0,1,1,34,34,2,2,28,28,Benetton,,,,
Nicola Piantella,0,0,0,0,0,0,0,0,0,0,1,1,Benetton,,,,
Onisi Ratave,0,0,0,0,1,0,94,10,2,1,18,4,Benetton,,,,
Rhyno Smith,1,1,0,0,1,1,213,213,4,4,29,29,Benetton,,,,
Riccardo Favretto,1,0,0,0,0,0,7,0,1,0,8,2,Benetton,,,,
Sam Hidalgo-Clyne,0,0,0,0,0,0,27,27,2,2,9,9,Benetton,,,,
Scott Scrafton,0,0,0,0,1,1,57,57,1,1,31,31,Benetton,,,,
Sebastian Negri da Ollegio,1,0,0,0,2,0,59,0,3,0,41,0,Benetton,,,,
Simone Ferrari,0,0,0,0,0,0,1,1,0,0,9,9,Benetton,,,,
Thomas Gallo,0,0,0,0,0,0,27,27,0,0,18,18,Benetton,,,,
Tiziano Pasquali,0,0,0,0,0,0,0,0,0,0,4,3,Benetton,,,,
Toa Halafihi,1,1,0,0,1,1,64,64,2,2,33,33,Benetton,,,,
