Player,Position,Age,Weight,Height,Year
Cherif TRAORÉ,Prop,28,1.84,116,22.23
Federico ZANI,Prop,33,1.78,110,22.23
Filippo ALONGI,Prop,22,1.85,118,22.23
Gianmarco LUCCHESI,Prop,22,1.84,110,22.23
Ivan NEMER,Prop,24,1.8,116,22.23
Matteo DRUDI,Prop,22,1.83,108,22.23
Nahuel TETAZ CHAPARRO,Prop,32,1.9,115,22.23
Simone FERRARI,Prop,28,1.85,124,22.23
Tiziano PASQUALI,Prop,28,1.85,118,22.23
Corniel ELS,Hooker,28,1.83,109,22.23
Giacomo NICOTERA,Hooker,26,1.83,102,22.23
Thomas GALLO,Hooker,23,1.76,107,22.23
Alessandro IZEKOR,Lock,22,1.96,110,22.23
Carl WEGNER,Lock,31,2,117,22.23
Federico RUZZA,Lock,28,1.98,108,22.23
Niccolò CANNONE,Lock,24,1.97,120,22.23
Nicola PIANTELLA,Lock,21,1.98,100,22.23
Riccardo FAVRETTO,Lock,20,2,105,22.23
Scott SCRAFTON,Lock,29,2,120,22.23
Seb NEGRI,Lock,28,1.94,110,22.23
Braam STEYN,Back row,30,1.93,111,22.23
Giovanni PETTINELLI,Back row,26,1.93,108,22.23
Henry STOWERS,Back row,27,1.9,115,22.23
Lorenzo CANNONE,Back row,21,1.9,102,22.23
Manuel ZULIANI,Back row,22,1.88,108,22.23
Marco LAZZARONI,Back row,27,1.94,110,22.23
Michele LAMARO,Back row,24,1.88,103,22.23
Toa HALAFIHI,Back row,28,1.82,110,22.23
Alessandro GARBISI,Scrum-half,20,1.73,86,22.23
Dewaldt DUVENAGE,Scrum-half,34,1.73,82,22.23
Sam HIDALGO-CLYNE,Scrum-half,29,1.75,85,22.23
Leonardo MARIN,Fly-half,20,1.88,88,22.23
Tomás ALBORNOZ,Fly-half,25,1.77,82,22.23
Filippo DRAGO,Center,20,1.86,96,22.23
Ignacio BREX,Center,30,1.89,99,22.23
Joaquin RIERA,Center,28,1.82,90,22.23
Marco ZANON,Center,25,1.86,97,22.23
Tommaso MENONCELLO,Center,20,1.87,98,22.23
Iliesa TAVUYARA,Winger,32,1.89,105,22.23
Marcus WATSON,Winger,31,1.78,88,22.23
Mattia BELLINI,Winger,28,1.93,101,22.23
Onisi RATAVE,Winger,30,1.79,100,22.23
Edoardo PADOVANI,Fullback,29,1.91,95,22.23
Giacomo DA RE,Fullback,23,1.8,83,22.23
Ignacio MENDY,Fullback,22,1.87,90,22.23
Rhyno SMITH,Fullback,29,1.73,83,22.23
