Player,Position,Age,Height,Weight,Year
Brad Thyer,Prop,29,1.81,113,22.23
Corey Domachowski,Prop,26,1.83,121,22.23
Dillon Lewis,Prop,26,1.85,125,22.23
Dmitri Arhip,Prop,33,1.83,120,22.23
Keiron Assiratti,Prop,25,1.78,119,22.23
Rhys Carré,Prop,24,1.91,132,22.23
Will Davies-king,Prop,24,1.93,128,22.23
Efan Daniel,Hooker,19,1.85,97,22.23
Kirby Myhill,Hooker,30,1.83,108,22.23
Kristian Dacey,Hooker,33,1.88,119,22.23
Liam Belcher,Hooker,26,1.77,107,22.23
James Ratti,Lock,24,1.96,120,22.23
Joe Peard,Lock,20,2.01,125,22.23
Lopeti Timani,Lock,32,1.93,125,22.23
Matthew Screech,Lock,29,1.96,116,22.23
Rory Thornton,Lock,27,2.01,119,22.23
Seb Davies,Lock,26,2.03,119,22.23
Ellis Jenkins,Back row,29,1.85,105,22.23
James Botham,Back row,24,1.91,104,22.23
Josh Navidi,Back row,31,1.85,105,22.23
Josh Turnbull,Back row,34,1.95,117,22.23
Olly Robinson,Back row,31,1.86,107,22.23
Shane Lewis-hughes,Back row,25,1.96,115,22.23
Teddy Williams,Back row,21,1.98,118,22.23
Toby Faletau,Back row,31,1.88,111,22.23
Tom Young,Back row,30,1.81,102,22.23
Ellis Bevan,Scrum-half,22,1.8,92,22.23
Jamie Hill,Scrum-half,23,1.78,80,22.23
Lloyd Williams,Scrum-half,32,1.83,91,22.23
Tomos Williams,Scrum-half,27,1.8,86,22.23
Ben Thomas,Fly-half,23,1.83,93,22.23
Jarrod Evans,Fly-half,26,1.8,87,22.23
Rhys Priestland,Fly-half,35,1.88,95,22.23
Harri Millard,Center,26,1.83,94,22.23
Mason Grady,Center,20,1.96,110,22.23
Max Llewellyn,Center,23,1.97,105,22.23
Rey Lee-lo,Center,36,1.81,98,22.23
Willis Halaholo,Center,32,1.8,105,22.23
Jason Harries,Winger,33,1.93,107,22.23
Josh Adams,Winger,27,1.84,96,22.23
Owen Lane,Winger,24,1.85,100,22.23
Aled Summerhill,Fullback,27,1.88,93,22.23
Liam Williams,Fullback,31,1.88,87,22.23
Matthew Morgan,Fullback,30,1.73,78,22.23
