Name,Position,Age,Height,Weight,Year
Denis Buckley,prop,32,1.77,110,22.23
Dominic Robertson-mccoy,prop,28,1.88,122,22.23
Finlay Bealham,prop,31,1.85,123,22.23
Jack Aungier,prop,23,1.88,120,22.23
Jordan Duggan,prop,24,1.85,114,22.23
Matthew Burke,prop,25,1.79,113,22.23
Peter Dooley,prop,28,1.83,116,22.23
Sam Illo,prop,21,1.85,118,22.23
Dave Heffernan,hooker,31,1.87,111,22.23
Dylan Tierney-martin,hooker,23,1.82,101,22.23
Grant Stewart,hooker,27,1.82,110,22.23
Shane Delahunt,hooker,28,1.88,112,22.23
Darragh Murray,lock,21,2.01,115,22.23
Gavin Thornbury,lock,28,2.04,117,22.23
Leva Fifita,lock,33,1.94,120,22.23
Niall Murray,lock,22,2.01,111,22.23
Oisin Dowling,lock,25,1.96,109,22.23
Cian Prendergast,back row,22,1.96,112,22.23
Ciaran Booth,back row,22,1.88,104,22.23
Conor Oliver,back row,27,1.83,102,22.23
Jarrad Butler,back row,31,1.86,106,22.23
Josh Murphy,back row,27,1.98,110,22.23
Oisin Mccormack,back row,21,1.83,100,22.23
Paul Boyle,back row,25,1.89,107,22.23
Seán Masterson,back row,24,1.9,105,22.23
Shamus Hurley-langton,back row,22,1.85,108,22.23
Caolin Blade,scrum-half,28,1.7,81,22.23
Colm Reilly,scrum-half,23,1.78,78,22.23
Kieran Marmion,scrum-half,30,1.8,85,22.23
Cathal Forde,fly-half,20,1.88,95,22.23
Conor Fitzgerald,fly-half,25,1.84,91,22.23
Jack Carty,fly-half,30,1.81,92,22.23
Bundee Aki,center,32,1.8,102,22.23
David Hawkshaw,center,23,1.78,86,22.23
John Porch,center,28,1.85,99,22.23
Shane Jennings,center,21,1.91,96,22.23
Shayne Bolton,center,22,1.88,100,22.23
Tom Daly,center,29,1.93,107,22.23
Tom Farrell,center,29,1.9,107,22.23
Adam Byrne,winger,28,1.93,101,22.23
Alex Wootton,winger,28,1.88,100,22.23
Byron Ralston,winger,22,1.84,88,22.23
Diarmuid Kilgallen,winger,22,1.93,95,22.23
Mack Hansen,fullback,24,1.88,89,22.23
Oran Mcnulty,fullback,22,1.78,90,22.23
Tiernan O'halloran,fullback,31,1.88,96,22.23
