Name,Position,Age,Height,Weight,Column1
Aki Seiuli,prop,29,1.84,118,22.23
Chris Coleman,prop,24,1.89,130,22.23
Josh Reynolds,prop,23,1.8,112,22.23
Leon Brown,prop,25,1.91,126,22.23
Lloyd Fairbrother,prop,30,1.75,123,22.23
Rhodri Jones,prop,30,1.91,120,22.23
Rob Evans,prop,30,1.86,118,22.23
Brad Roberts,hooker,26,1.75,108,22.23
Elliot Dee,hooker,28,1.86,106,22.23
Ellis Shipp,hooker,25,1.79,108,22.23
James Benjamin,hooker,28,1.83,100,22.23
Ben Carter,lock,21,1.98,117,22.23
George Nott,lock,26,1.98,114,22.23
Joe Davies,lock,26,1.97,130,22.23
Sean Lonsdale,lock,25,1.96,112,22.23
Will Rowlands,lock,31,2.03,123,22.23
Aaron Wainwright,back row,25,1.9,106,22.23
Ben Fry,back row,24,1.86,105,22.23
Harri Keddie,back row,26,1.88,110,22.23
Huw Taylor,back row,26,1.96,114,22.23
Lennon Greggains,back row,23,1.87,102,22.23
Ollie Griffiths,back row,27,1.85,104,22.23
Ross Moriarty,back row,28,1.88,103,22.23
Taine Basham,back row,22,1.83,96,22.23
Gonzalo Bertranou,scrum-half,28,1.74,77,22.23
Lewis Jones,scrum-half,29,1.75,81,22.23
Rhodri Williams,scrum-half,29,1.79,81,22.23
Angus O'brien,fly-half,28,1.8,89,22.23
JJ Hanrahan,fly-half,30,1.83,93,22.23
Sam Davies,fly-half,29,1.8,87,22.23
Will Reed,fly-half,20,1.76,80,22.23
Aneurin Owen,center,21,1.8,89,22.23
Cory Allen,center,29,1.93,102,22.23
Jack Dixon,center,27,1.88,105,22.23
Max Clark,center,27,1.9,100,22.23
Sio Tomkinson,center,26,1.83,95,22.23
Steff Hughes,center,28,1.8,91,22.23
Ashton Hewitt,winger,27,1.8,90,22.23
Jared Rosser,winger,24,1.83,99,22.23
Rio Dyer,winger,22,1.86,94,22.23
David Richards,fullback,23,1.82,93,22.23
Ioan Davies,fullback,22,1.83,84,22.23
Jordan Williams,fullback,29,1.73,81,22.23
