Name,Position,Age.1,Height.1,Weight.1,Weight.2
Angus Williams,prop,28,1.8,117,22.23
Boan Venter,prop,25,1.87,124,22.23
Harrison Courtney,prop,25,1.84,110,22.23
Lee Roy atalifo,prop,34,1.8,134,22.23
Luan De bruin,prop,29,1.83,128,22.23
Nick Auterac,prop,29,1.83,120,22.23
Pierre Schoeman,prop,28,1.84,118,22.23
Wp Nel,prop,36,1.82,120,22.23
Adam Mcburney,hooker,26,1.83,103,22.23
Dave Cherry,hooker,31,1.83,107,22.23
Stuart Mcinally,hooker,32,1.9,110,22.23
Glen Young,lock,27,2.01,118,22.23
Grant Gilchrist,lock,32,2.02,120,22.23
Jamie Hodgson,lock,24,1.97,116,22.23
Marshall Sykes,lock,22,2,112,22.23
Mesulame Kunavula,lock,26,1.96,110,22.23
Pierce Phillips,lock,30,2.03,119,22.23
Ben Muncaster,back row,20,1.9,110,22.23
Connor Boyle,back row,22,1.83,91,22.23
Hamish Watson,back row,30,1.85,102,22.23
Jamie Ritchie,back row,26,1.93,109,22.23
Luke Crosbie,back row,25,1.98,110,22.23
Nick Haining,back row,32,1.93,115,22.23
Sam Skinner,back row,27,1.96,116,22.23
Viliame Mata,back row,30,1.96,116,22.23
Ben Vellacott,scrum-half,27,1.67,78,22.23
Charlie Shiel,scrum-half,24,1.78,83,22.23
Henry Pyrgos,scrum-half,33,1.78,83,22.23
Charlie Savala,fly-half,22,1.93,96,22.23
Jaco Van der walt,fly-half,28,1.82,92,22.23
James Lang,fly-half,27,1.83,95,22.23
Cameron Hutchison,center,24,1.83,99,22.23
Chris Dean,center,28,1.88,103,22.23
Mark Bennett,center,29,1.83,91,22.23
Matt Currie,center,21,1.91,95,22.23
Wes Goosen,center,26,1.8,92,22.23
Damien Hoyland,winger,28,1.78,91,22.23
Darcy Graham,winger,25,1.76,84,22.23
Emiliano Boffelli,winger,27,1.91,91,22.23
Freddie Owsley,winger,25,1.93,93,22.23
Jack Blain,winger,22,1.91,102,22.23
Blair Kinghorn,fullback,25,1.94,100,22.23
Henry Immelman,fullback,27,1.89,98,22.23
