Name,Position,Age.1,Height.1,Weight.1,Weight.2
Allan Dell,prop,30,1.85,112,22.23
Enrique Pieretto heiland,prop,27,1.87,122,22.23
Jamie Bhatti,prop,29,1.85,120,22.23
Lucio Sordoni,prop,24,1.9,123,22.23
Murphy Walker,prop,22,1.85,110,22.23
Nathan Mcbeth,prop,24,1.89,120,22.23
Oli Kebble,prop,30,1.91,124,22.23
Simon Berghan,prop,31,1.93,126,22.23
Zander Fagerson,prop,26,1.88,126,22.23
Angus Fraser,hooker,22,1.81,110,22.23
Fraser Brown,hooker,33,1.82,113,22.23
George Turner,hooker,30,1.81,106,22.23
Gregor Hiddleston,hooker,20,1.87,120,22.23
Johnny Matthews,hooker,29,1.83,110,22.23
Alex Samuel,lock,19,2.07,115,22.23
Gregor Brown,lock,21,1.96,109,22.23
JP Du preez,lock,27,2.08,130,22.23
Lewis Bean,lock,30,2.03,129,22.23
Max Williamson,lock,20,2.01,120,22.23
Richie Gray,lock,33,2.06,126,22.23
Scott Cummings,lock,25,1.98,115,22.23
Sintu Manjezi,lock,27,1.98,117,22.23
Ally Miller,back row,26,1.93,112,22.23
Jack Dempsey,back row,28,1.91,111,22.23
Matt Fagerson,back row,24,1.87,110,22.23
Rory Darge,back row,22,1.86,98,22.23
Ryan Wilson,back row,33,1.93,106,22.23
Sione Vailanu,back row,27,1.85,127,22.23
Thomas Gordon,back row,25,1.81,100,22.23
Ali Price,scrum-half,29,1.78,88,22.23
Cam Jones,scrum-half,21,1.79,82,22.23
George Horne,scrum-half,27,1.75,79,22.23
Jamie Dobie,scrum-half,21,1.75,81,22.23
Jordan Lenac,scrum-half,25,1.77,85,22.23
Sean Kennedy,scrum-half,31,1.73,80,22.23
Domingo Miotti,fly-half,26,1.88,93,22.23
Duncan Weir,fly-half,31,1.76,91,22.23
Joel Hodgson,fly-half,30,1.76,84,22.23
Ross Thompson,fly-half,23,1.83,86,22.23
Will Hunt,fly-half,24,1.88,90,22.23
Huw Jones,center,28,1.86,102,22.23
Kyle Steyn,center,28,1.87,102,22.23
Sam Johnson,center,29,1.85,102,22.23
Sione Tuipulotu,center,25,1.79,103,22.23
Stafford Mcdowall,center,24,1.93,103,22.23
Tom Jordan,center,24,1.89,95,22.23
Sebastian Cancelliere,winger,29,1.85,90,22.23
Walter Fifita,winger,25,1.95,118,22.23
Cole Forbes,fullback,23,1.8,91,22.23
Josh Mckay,fullback,25,1.83,95,22.23
Ollie Smith,fullback,22,1.88,88,22.23
Rufus Mclean,fullback,22,1.81,84,22.23
