Name,Position,Age.1,Height.1,Weight.1,Weight.2
Andrew Porter,prop,26,1.84,125,22.23
Cian Healy,prop,35,1.85,117,22.23
Ed Byrne,prop,29,1.8,114,22.23
Michael Alaalatoa,prop,31,1.91,130,22.23
Michael Milne,prop,22,1.83,115,22.23
Tadhg Furlong,prop,29,1.83,125,22.23
Tom Clarkson,prop,22,1.85,118,22.23
Vakh Abdaladze,prop,26,1.88,121,22.23
Dan Sheehan,hooker,24,1.91,111,22.23
James Tracy,hooker,31,1.84,107,22.23
Ronan Kelleher,hooker,24,1.85,106,22.23
Brian Deeny,lock,22,2.01,112,22.23
Charlie Ryan,lock,23,2.03,115,22.23
James Ryan,lock,26,2.03,116,22.23
Jason Jenkins,lock,26,2.03,125,22.23
Joe Mccarthy,lock,21,1.98,119,22.23
Ross Molony,lock,28,1.98,113,22.23
Ryan Baird,lock,23,1.98,113,22.23
Caelan Doris,back row,24,1.93,107,22.23
Jack Conan,back row,30,1.93,114,22.23
Josh Van der flier,back row,29,1.83,105,22.23
Martin Moloney,back row,21,1.85,102,22.23
Max Deegan,back row,26,1.93,110,22.23
Rhys Ruddock,back row,31,1.91,113,22.23
Scott Penny,back row,23,1.85,104,22.23
Will Connors,back row,26,1.96,105,22.23
Cormac Foley,scrum-half,22,1.8,88,22.23
Jamison Gibson-park,scrum-half,30,1.76,83,22.23
Luke Mcgrath,scrum-half,29,1.75,84,22.23
Nick Mccarthy,scrum-half,27,1.8,84,22.23
Ciaran Frawley,fly-half,24,1.91,98,22.23
Harry Byrne,fly-half,23,1.91,95,22.23
Johnny Sexton,fly-half,37,1.88,92,22.23
Ross Byrne,fly-half,27,1.93,95,22.23
Charlie Ngatai,center,32,1.88,104,22.23
Garry Ringrose,center,27,1.91,96,22.23
Jimmy O'brien,center,25,1.83,90,22.23
Robbie Henshaw,center,29,1.91,103,22.23
Tommy O'brien,center,24,1.83,95,22.23
Dave Kearney,winger,33,1.8,91,22.23
James Lowe,winger,30,1.88,105,22.23
Jordan Larmour,winger,25,1.78,91,22.23
Liam Turner,winger,23,1.83,105,22.23
Hugo Keenan,fullback,26,1.85,92,22.23
Jamie Osborne,fullback,20,1.93,97,22.23
