Name,Position,Age.1,Height.1,Weight.1,Weight.2
Dave Kilcoyne,prop,33,1.85,118,22.23
James French,prop,23,1.85,121,22.23
Jeremy Loughman,prop,27,1.85,120,22.23
Josh Wycherley,prop,23,1.83,108,22.23
Keynan Knox,prop,23,1.85,115,22.23
Liam O'connor,prop,27,1.8,110,22.23
Roman Salanoa,prop,24,1.83,123,22.23
Stephen Archer,prop,34,1.88,121,22.23
Chris Moore,hooker,22,1.85,110,22.23
Diarmuid Barron,hooker,24,1.84,100,22.23
Niall Scannell,hooker,30,1.85,111,22.23
Scott Buckley,hooker,22,1.8,104,22.23
Eoin O'connor,lock,22,2.01,108,22.23
Fineen Wycherley,lock,24,1.96,112,22.23
Jean Kleyn,lock,29,2.03,121,22.23
Paddy Kelly,lock,22,2.01,111,22.23
RG Snyman,lock,27,2.06,120,22.23
Tadhg Beirne,lock,30,1.98,114,22.23
Thomas Ahern,lock,22,2.06,117,22.23
Alex Kendellen,back row,21,1.88,105,22.23
Gavin Coombes,back row,24,1.98,110,22.23
Jack Daly,back row,24,1.83,106,22.23
Jack O'donoghue,back row,28,1.91,110,22.23
Jack O'sullivan,back row,24,1.89,100,22.23
John Hodnett,back row,23,1.85,105,22.23
Peter O'mahony,back row,33,1.91,108,22.23
Conor Murray,scrum-half,33,1.88,94,22.23
Craig Casey,scrum-half,23,1.65,76,22.23
Neil Cronin,scrum-half,29,1.73,83,22.23
Paddy Patterson,scrum-half,23,1.75,75,22.23
Ben Healy,fly-half,23,1.91,97,22.23
Jack Crowley,fly-half,22,1.83,90,22.23
Joey Carbery,fly-half,26,1.83,86,22.23
Antoine Frisch,center,26,1.88,99,22.23
Chris Farrell,center,29,1.91,110,22.23
Dan Goggin,center,27,1.88,97,22.23
Malakai Fekitoa,center,30,1.87,100,22.23
Rory Scannell,center,28,1.79,96,22.23
Shane Daly,center,25,1.91,92,22.23
Andrew Conway,winger,31,1.8,91,22.23
Calvin Nash,winger,25,1.8,90,22.23
Keith Earls,winger,35,1.8,90,22.23
Liam Coombes,winger,25,1.91,90,22.23
Simon Zebo,winger,32,1.88,94,22.23
Mike Haley,fullback,28,1.91,94,22.23
