Name,Position,Age.1,Height.1,Weight.1,Weight.2
Ben Warren,prop,22,1.85,118,22.23
Gareth Thomas,prop,29,1.88,118,22.23
Garyn Phillips,prop,21,1.83,113,22.23
Nicky Smith,prop,28,1.83,116,22.23
Rhys Henry,prop,24,1.73,114,22.23
Tom Botha,prop,32,1.79,110,22.23
Tomas Francis,prop,30,1.86,135,22.23
Dewi Lake,hooker,23,1.85,110,22.23
Elvis Taione,hooker,39,1.8,112,22.23
Sam Parry,hooker,30,1.86,114,22.23
Scott Baldwin,hooker,34,1.9,114,22.23
Adam Beard,lock,26,2.03,117,22.23
Alun Wyn jones,lock,37,1.98,119,22.23
Bradley Davies,lock,35,1.98,122,22.23
Jack Regan,lock,25,1.99,114,22.23
Rhys Davies,lock,23,1.97,116,22.23
Will Griffiths,lock,23,1.93,106,22.23
Dan Lydiate,back row,34,1.94,115,22.23
Ethan Roots,back row,24,1.88,110,22.23
Jac Morgan,back row,22,1.8,102,22.23
Justin Tipuric,back row,33,1.88,107,22.23
Morgan Morris,back row,24,1.83,102,22.23
Sam Cross,back row,30,1.9,100,22.23
Sam Moore,back row,24,1.98,110,22.23
Will Hickey,back row,20,1.91,103,22.23
Harri Morgan,scrum-half,22,1.77,84,22.23
Matthew Aubrey,scrum-half,25,1.68,85,22.23
Reuben Morgan-williams,scrum-half,24,1.8,85,22.23
Rhys Webb,scrum-half,33,1.83,93,22.23
Cai Evans,fly-half,23,1.85,84,22.23
Gareth Anscombe,fly-half,31,1.83,90,22.23
Jack Walsh,fly-half,23,1.84,88,22.23
Stephen Myler,fly-half,38,1.8,95,22.23
Joe Hawkins,center,20,1.83,99,22.23
Kieran Williams,center,25,1.78,79,22.23
Mike Collins,center,29,1.86,99,22.23
Osian Knott,center,22,1.88,103,22.23
Owen Watkin,center,25,1.88,112,22.23
Tiaan Thomas-wheeler,center,22,1.91,100,22.23
Alex Cuthbert,winger,32,1.98,106,22.23
George North,winger,30,1.94,109,22.23
Keelan Giles,winger,24,1.73,80,22.23
Luke Morgan,winger,30,1.75,81,22.23
Daniel Evans,fullback,33,1.83,93,22.23
Mat Protheroe,fullback,26,1.81,81,22.23
Max Nagy,fullback,26,1.93,95,22.23
