Name,Position,Age.1,Height.1,Weight.1,Weight.2
Alex Jeffries,prop,27,1.93,127,22.23
Javan Sebastian,prop,28,1.77,123,22.23
Kemsley Mathias,prop,23,1.85,121,22.23
Phil Price,prop,33,1.85,115,22.23
Samson Lee,prop,29,1.8,115,22.23
Steff Thomas,prop,25,1.83,122,22.23
Willgriff John,prop,29,1.91,127,22.23
Wyn Jones,prop,30,1.84,114,22.23
Dafydd Hughes,hooker,26,1.79,103,22.23
Ken Owens,hooker,35,1.85,109,22.23
Ryan Elias,hooker,27,1.87,110,22.23
Shaun Evans,hooker,26,1.83,103,22.23
Taylor Davies,hooker,27,1.84,108,22.23
Griff Evans,lock,,1.98,110,22.23
Jac Price,lock,22,1.98,114,22.23
Josh Helps,lock,27,1.97,115,22.23
Lewis Rawlins,lock,32,1.99,117,22.23
Morgan Jones,lock,23,2,112,22.23
Sam Lousi,lock,31,1.99,122,22.23
Tom Price,lock,29,2.03,117,22.23
Aaron Shingler,back row,35,1.97,110,22.23
Blade Thomson,back row,31,1.98,110,22.23
Carwyn Tuipulotu,back row,21,1.88,125,22.23
Dan Davis,back row,24,1.82,101,22.23
Iestyn Rees,back row,23,1.89,110,22.23
Iwan Shenton,back row,22,1.93,106,22.23
Josh Macleod,back row,25,1.89,110,22.23
Sione Kalamafoni,back row,34,1.96,120,22.23
Tomás Lezana,back row,28,1.88,104,22.23
Vaea Fifita,back row,30,1.96,111,22.23
Dane Blacker,scrum-half,24,1.78,78,22.23
Gareth Davies,scrum-half,32,1.78,88,22.23
Kieran Hardy,scrum-half,26,1.84,88,22.23
Dan Jones,fly-half,26,1.83,88,22.23
Rhys Patchell,fly-half,29,1.9,94,22.23
Sam Costelow,fly-half,21,1.75,83,22.23
Ioan Nicholas,center,24,1.82,92,22.23
Joe Roberts,center,22,1.82,96,22.23
Johnny Williams,center,25,1.91,105,22.23
Jonathan Davies,center,34,1.86,104,22.23
Scott Williams,center,32,1.87,100,22.23
Corey Baldwin,winger,23,1.83,99,22.23
Johnny Mcnicholl,winger,32,1.87,96,22.23
Ryan Conbeer,winger,23,1.77,91,22.23
Steff Evans,winger,28,1.82,95,22.23
Tom Rogers,winger,23,1.85,87,22.23
Leigh Halfpenny,fullback,33,1.78,85,22.23
