Name,Position,Age.1,Height.1,Weight.1,Weight.2
Andy Warwick,prop,31,1.78,116,22.23
Callum Reid,prop,23,1.83,118,22.23
Eric O'sullivan,prop,26,1.86,118,22.23
Gareth Milasinovich,prop,26,1.91,134,22.23
Jeffery Toomaga-allen,prop,31,1.92,125,22.23
Marty Moore,prop,31,1.8,126,22.23
Tom O'toole,prop,24,1.85,124,22.23
Declan Moore,hooker,26,1.84,112,22.23
John Andrew,hooker,29,1.8,103,22.23
Rob Herring,hooker,32,1.85,106,22.23
Tom Stewart,hooker,21,1.85,100,22.23
Alan O'connor,lock,30,1.97,113,22.23
Cormac Izuchukwu,lock,22,2.01,114,22.23
Frank Bradshaw,lock,27,2.05,119,22.23
Iain Henderson,lock,30,1.98,116,22.23
Kieran Treadwell,lock,26,1.99,117,22.23
Sam Carter,lock,33,2.01,116,22.23
David Mccann,back row,22,1.93,108,22.23
Duane Vermeulen,back row,36,1.93,119,22.23
Greg Jones,back row,26,1.96,108,22.23
Jordi Murphy,back row,31,1.88,106,22.23
Marcus Rea,back row,25,1.89,109,22.23
Matty Rea,back row,29,1.93,113,22.23
Nick Timoney,back row,27,1.88,114,22.23
Sean Reffell,back row,24,1.8,95,22.23
Dave Shanahan,scrum-half,29,1.76,80,22.23
John Cooney,scrum-half,32,1.78,87,22.23
Michael Mcdonald,scrum-half,23,1.78,85,22.23
Nathan Doak,scrum-half,20,1.85,87,22.23
Angus Curtis,fly-half,24,1.78,93,22.23
Billy Burns,fly-half,28,1.83,87,22.23
Ian Madigan,fly-half,33,1.81,91,22.23
Mike Lowry,fly-half,24,1.71,80,22.23
Aaron Sexton,center,22,1.88,94,22.23
Ben Moxham,center,21,1.91,97,22.23
Jacob Stockdale,center,26,1.91,103,22.23
James Hume,center,24,1.88,98,22.23
Luke Marshall,center,31,1.8,99,22.23
Stewart Moore,center,23,1.83,91,22.23
Stuart Mccloskey,center,30,1.93,111,22.23
Will Addison,center,30,1.85,95,22.23
Craig Gilroy,winger,31,1.83,93,22.23
Rob Lyttle,winger,25,1.75,85,22.23
Robert Baloucoune,winger,25,1.94,99,22.23
Ethan Mcilroy,fullback,22,1.88,86,22.23
Jake Flannery,fullback,23,1.83,91,22.23
