Player,Position,Age,Weight,Height,Year,Team
Cherif TRAORÉ,Prop,28,1.84,116,22.23,Benetton
Federico ZANI,Prop,33,1.78,110,22.23,Benetton
Filippo ALONGI,Prop,22,1.85,118,22.23,Benetton
Gianmarco LUCCHESI,Prop,22,1.84,110,22.23,Benetton
Ivan NEMER,Prop,24,1.8,116,22.23,Benetton
Matteo DRUDI,Prop,22,1.83,108,22.23,Benetton
Nahuel TETAZ CHAPARRO,Prop,32,1.9,115,22.23,Benetton
Simone FERRARI,Prop,28,1.85,124,22.23,Benetton
Tiziano PASQUALI,Prop,28,1.85,118,22.23,Benetton
Corniel ELS,Hooker,28,1.83,109,22.23,Benetton
Giacomo NICOTERA,Hooker,26,1.83,102,22.23,Benetton
Thomas GALLO,Hooker,23,1.76,107,22.23,Benetton
Alessandro IZEKOR,Lock,22,1.96,110,22.23,Benetton
Carl WEGNER,Lock,31,2,117,22.23,Benetton
Federico RUZZA,Lock,28,1.98,108,22.23,Benetton
Niccolò CANNONE,Lock,24,1.97,120,22.23,Benetton
Nicola PIANTELLA,Lock,21,1.98,100,22.23,Benetton
Riccardo FAVRETTO,Lock,20,2,105,22.23,Benetton
Scott SCRAFTON,Lock,29,2,120,22.23,Benetton
Seb NEGRI,Lock,28,1.94,110,22.23,Benetton
Braam STEYN,Back row,30,1.93,111,22.23,Benetton
Giovanni PETTINELLI,Back row,26,1.93,108,22.23,Benetton
Henry STOWERS,Back row,27,1.9,115,22.23,Benetton
Lorenzo CANNONE,Back row,21,1.9,102,22.23,Benetton
Manuel ZULIANI,Back row,22,1.88,108,22.23,Benetton
Marco LAZZARONI,Back row,27,1.94,110,22.23,Benetton
Michele LAMARO,Back row,24,1.88,103,22.23,Benetton
Toa HALAFIHI,Back row,28,1.82,110,22.23,Benetton
Alessandro GARBISI,Scrum-half,20,1.73,86,22.23,Benetton
Dewaldt DUVENAGE,Scrum-half,34,1.73,82,22.23,Benetton
Sam HIDALGO-CLYNE,Scrum-half,29,1.75,85,22.23,Benetton
Leonardo MARIN,Fly-half,20,1.88,88,22.23,Benetton
Tomás ALBORNOZ,Fly-half,25,1.77,82,22.23,Benetton
Filippo DRAGO,Center,20,1.86,96,22.23,Benetton
Ignacio BREX,Center,30,1.89,99,22.23,Benetton
Joaquin RIERA,Center,28,1.82,90,22.23,Benetton
Marco ZANON,Center,25,1.86,97,22.23,Benetton
Tommaso MENONCELLO,Center,20,1.87,98,22.23,Benetton
Iliesa TAVUYARA,Winger,32,1.89,105,22.23,Benetton
Marcus WATSON,Winger,31,1.78,88,22.23,Benetton
Mattia BELLINI,Winger,28,1.93,101,22.23,Benetton
Onisi RATAVE,Winger,30,1.79,100,22.23,Benetton
Edoardo PADOVANI,Fullback,29,1.91,95,22.23,Benetton
Giacomo DA RE,Fullback,23,1.8,83,22.23,Benetton
Ignacio MENDY,Fullback,22,1.87,90,22.23,Benetton
Rhyno SMITH,Fullback,29,1.73,83,22.23,Benetton
Brad Thyer,Prop,29,1.81,113,22.23,Cardiff
Corey Domachowski,Prop,26,1.83,121,22.23,Cardiff
Dillon Lewis,Prop,26,1.85,125,22.23,Cardiff
Dmitri Arhip,Prop,33,1.83,120,22.23,Cardiff
Keiron Assiratti,Prop,25,1.78,119,22.23,Cardiff
Rhys Carré,Prop,24,1.91,132,22.23,Cardiff
Will Davies-king,Prop,24,1.93,128,22.23,Cardiff
Efan Daniel,Hooker,19,1.85,97,22.23,Cardiff
Kirby Myhill,Hooker,30,1.83,108,22.23,Cardiff
Kristian Dacey,Hooker,33,1.88,119,22.23,Cardiff
Liam Belcher,Hooker,26,1.77,107,22.23,Cardiff
James Ratti,Lock,24,1.96,120,22.23,Cardiff
Joe Peard,Lock,20,2.01,125,22.23,Cardiff
Lopeti Timani,Lock,32,1.93,125,22.23,Cardiff
